Date,BTC,ETH,NANO,USDT,XLM,NEO,BNB
2019-10-26,0.01568825,0.24531795,29.16010000,233.70401202,974.50000000,2,6.62837251
2019-10-27,0.01568825,0.24531795,29.16010000,255.62915702,974.50000000,0,6.62837251
2019-10-30,0.01568825,0.24531795,0,280.30726502,974.50000000,0,6.62743197
2019-11-01,0.01568825,0.24531795,0,310.30195702,540.80000000,0,6.62629953
2019-11-03,0.01568825,0.245317950,0,357.11127302,0,0,6.62490877
2019-11-05,0.01568825,0.245317950,31,357.11127302,0,0,6.62490877
2019-11-06,0.01568825,0.245317950,21.22010000,357.11127302,0,0,6.62490877
